Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Total Risk
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,24.23017902813299
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,19.785734583688544
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,22.347826086956523
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,17.903381642512077
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,25.785734583688548
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,21.3412901392441
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,23.903381642512077
DE10-Avalon,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,19.45893719806763
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,26.13235294117647
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,21.687908496732028
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,24.25
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,19.805555555555557
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,27.687908496732025
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,23.243464052287578
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,25.805555555555557
DE10-Avalon,Edge PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,21.36111111111111
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,24.597826086956523
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,20.153381642512077
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,22.514492753623188
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,18.070048309178745
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,26.153381642512077
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,21.70893719806763
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,24.070048309178745
DE10-Avalon,Edge PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,19.6256038647343
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,26.5
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,22.055555555555557
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,24.416666666666664
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,19.97222222222222
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,28.055555555555557
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,23.611111111111114
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,25.97222222222222
DE10-Avalon,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,21.52777777777778
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,24.578005115089514
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,20.133560670645068
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,22.695652173913043
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,18.251207729468597
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,26.48017902813299
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,22.035734583688544
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,24.597826086956523
DE10-Avalon,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,20.153381642512077
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,26.48017902813299
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,22.035734583688544
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,24.597826086956523
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,20.153381642512077
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,28.38235294117647
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,23.937908496732028
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,26.5
DE10-Avalon,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,22.055555555555557
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,24.945652173913043
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,20.501207729468597
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,22.86231884057971
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,18.417874396135264
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,26.847826086956523
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,22.40338164251208
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,24.764492753623188
DE10-Avalon,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,20.320048309178745
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,26.847826086956523
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,22.40338164251208
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,24.764492753623188
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,20.320048309178745
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,28.75
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,24.305555555555557
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,26.666666666666664
DE10-Avalon,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,22.22222222222222
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,24.049019607843135
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,19.604575163398692
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,22.166666666666664
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,17.72222222222222
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,25.604575163398692
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,21.16013071895425
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,23.72222222222222
DE10-Avalon,Center PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,19.27777777777778
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,25.764705882352942
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,21.3202614379085
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,CPU,23.88235294117647
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,CPU,FPGA,FPGA,19.437908496732028
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,CPU,27.320261437908496
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,CPU,FPGA,22.87581699346405
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,CPU,25.437908496732025
DE10-Avalon,Center PWM,Edge Decoder,HSV,FPGA,FPGA,FPGA,FPGA,20.993464052287578
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,CPU,24.416666666666664
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,CPU,FPGA,19.97222222222222
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,CPU,22.333333333333332
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,CPU,FPGA,FPGA,17.888888888888886
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,CPU,25.97222222222222
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,CPU,FPGA,21.52777777777778
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,CPU,23.888888888888886
DE10-Avalon,Center PWM,Edge Decoder,YUV,CPU,FPGA,FPGA,FPGA,19.444444444444443
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,26.13235294117647
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,21.687908496732028
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,24.049019607843135
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,19.604575163398692
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,27.687908496732025
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,23.243464052287578
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,25.604575163398692
DE10-Avalon,Center PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,21.160130718954246
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,24.39684569479966
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,19.952401250355216
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,22.514492753623188
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,18.070048309178745
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,26.299019607843135
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,21.854575163398692
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,24.416666666666664
DE10-Avalon,Center PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,19.97222222222222
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,26.11253196930946
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,21.668087524865015
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,24.23017902813299
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,19.785734583688544
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,28.014705882352942
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,23.5702614379085
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,26.13235294117647
DE10-Avalon,Center PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,21.687908496732028
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,24.764492753623188
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,20.320048309178745
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,22.681159420289852
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,18.23671497584541
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,26.666666666666664
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,22.22222222222222
