Time: 17146.455515 s | Position: 0
Time: 17146.555634 s | Position: 0
Time: 17146.655744 s | Position: 0
Time: 17146.755833 s | Position: 0
Time: 17146.855950 s | Position: 0
Time: 17146.956061 s | Position: 0
Time: 17147.056153 s | Position: 0
Time: 17147.156272 s | Position: 0
Time: 17147.256491 s | Position: 0
Time: 17147.356582 s | Position: 0
Time: 17147.456675 s | Position: 0
Time: 17147.556771 s | Position: 0
Time: 17147.656921 s | Position: 58
Time: 17147.757020 s | Position: 385
Time: 17147.857184 s | Position: 712
Time: 17147.957412 s | Position: 1040
Time: 17148.057502 s | Position: 1367
Time: 17148.157674 s | Position: 1694
Time: 17148.257795 s | Position: 2021
Time: 17148.358109 s | Position: 2349
Time: 17148.458197 s | Position: 2676
Time: 17148.558356 s | Position: 3004
Time: 17148.658445 s | Position: 3331
Time: 17148.758605 s | Position: 3658
Time: 17148.858843 s | Position: 3986
Time: 17148.959031 s | Position: 4313
Time: 17149.059119 s | Position: 4640
Time: 17149.159292 s | Position: 4968
Time: 17149.259520 s | Position: 5295
Time: 17149.359609 s | Position: 5622
Time: 17149.459697 s | Position: 5949
Time: 17149.559858 s | Position: 6277
Time: 17149.660035 s | Position: 6604
Time: 17149.760314 s | Position: 6932
Time: 17149.860619 s | Position: 7260
Time: 17149.960833 s | Position: 7587
Time: 17150.060922 s | Position: 7914
Time: 17150.161098 s | Position: 8242
Time: 17150.261305 s | Position: 8569
Time: 17150.361413 s | Position: 8896
Time: 17150.461573 s | Position: 9224
Time: 17150.561662 s | Position: 9551
Time: 17150.661831 s | Position: 9878
Time: 17150.762112 s | Position: 10000
Time: 17150.862229 s | Position: 10000
Time: 17150.962342 s | Position: 10000
Time: 17151.062467 s | Position: 10000
Time: 17151.162562 s | Position: 10000
Time: 17151.262681 s | Position: 10000
Time: 17151.362771 s | Position: 10000
Time: 17151.462861 s | Position: 10000
Time: 17151.562950 s | Position: 10000
Time: 17151.663069 s | Position: 10000
Time: 17151.763279 s | Position: 10000
Time: 17151.863391 s | Position: 10000
Time: 17151.963619 s | Position: 10000
Time: 17152.063826 s | Position: 10000
Time: 17152.164258 s | Position: 10000
Time: 17152.264348 s | Position: 10000
Time: 17152.364730 s | Position: 10000
Time: 17152.464938 s | Position: 10000
Time: 17152.565029 s | Position: 10000
Time: 17152.665148 s | Position: 10000
Time: 17152.765266 s | Position: 10000
Time: 17152.865376 s | Position: 10000
Time: 17152.965494 s | Position: 10000
Time: 17153.065585 s | Position: 10000
Time: 17153.165710 s | Position: 10000
Time: 17153.265821 s | Position: 10000
Time: 17153.365912 s | Position: 10000
Time: 17153.466018 s | Position: 10000
Time: 17153.566109 s | Position: 10000
Time: 17153.666227 s | Position: 10000
Time: 17153.766344 s | Position: 10000
Time: 17153.866454 s | Position: 10000
Time: 17153.966543 s | Position: 10000
Time: 17154.066660 s | Position: 10000
Time: 17154.166772 s | Position: 10000
Time: 17154.266878 s | Position: 9815
Time: 17154.366996 s | Position: 9488
Time: 17154.467171 s | Position: 9160
Time: 17154.567321 s | Position: 8833
Time: 17154.667488 s | Position: 8505
Time: 17154.767624 s | Position: 8178
Time: 17154.867742 s | Position: 7851
Time: 17154.968039 s | Position: 7523
Time: 17155.068164 s | Position: 7195
Time: 17155.168274 s | Position: 6868
Time: 17155.268375 s | Position: 6541
Time: 17155.368612 s | Position: 6213
Time: 17155.468736 s | Position: 5886
Time: 17155.568973 s | Position: 5558
Time: 17155.669099 s | Position: 5231
Time: 17155.769208 s | Position: 4904
Time: 17155.869368 s | Position: 4576
Time: 17155.969528 s | Position: 4249
Time: 17156.069818 s | Position: 3921
Time: 17156.169909 s | Position: 3594
Time: 17156.270079 s | Position: 3266
Time: 17156.370249 s | Position: 2939
Time: 17156.470542 s | Position: 2611
Time: 17156.570650 s | Position: 2284
Time: 17156.670789 s | Position: 1956
Time: 17156.771082 s | Position: 1628
Time: 17156.871191 s | Position: 1301
Time: 17156.971340 s | Position: 974
Time: 17157.071471 s | Position: 646
Time: 17157.171697 s | Position: 319
Time: 17157.271789 s | Position: 0
Time: 17157.371909 s | Position: 0
Time: 17157.471999 s | Position: 0
Time: 17157.572105 s | Position: 0
Time: 17157.672194 s | Position: 0
Time: 17157.772312 s | Position: 0
Time: 17157.872431 s | Position: 0
Time: 17157.972639 s | Position: 0
Time: 17158.072848 s | Position: 0
Time: 17158.172958 s | Position: 0
Time: 17158.273095 s | Position: 0
Time: 17158.373212 s | Position: 0
Time: 17158.473331 s | Position: 0
Time: 17158.573442 s | Position: 0
