index,start_ms,end_ms,duration_ms
0,7532087.815,7533040.265,952.450
1,7533040.292,7533054.813,14.521
2,7533054.813,7533068.213,13.400
3,7533068.214,7533081.618,13.404
4,7533081.619,7533096.504,14.885
5,7533096.505,7533109.311,12.807
6,7533109.312,7533122.144,12.832
7,7533122.145,7533135.611,13.466
8,7533135.612,7533165.659,30.047
9,7533165.660,7533205.683,40.023
10,7533205.683,7533245.647,39.964
11,7533245.647,7533285.698,40.051
12,7533285.699,7533325.675,39.977
13,7533325.676,7533365.660,39.985
14,7533365.661,7533405.650,39.989
15,7533405.650,7533445.685,40.035
16,7533445.686,7533485.740,40.054
17,7533485.740,7533525.714,39.974
18,7533525.715,7533565.686,39.971
19,7533565.686,7533605.684,39.998
20,7533605.685,7533645.708,40.023
21,7533645.708,7533685.722,40.014
22,7533685.722,7533726.995,41.273
23,7533726.995,7533765.727,38.732
24,7533765.728,7533805.758,40.030
25,7533805.758,7533845.809,40.050
26,7533845.809,7533885.738,39.929
27,7533885.738,7533927.180,41.442
28,7533927.181,7533965.802,38.622
29,7533965.803,7534005.810,40.008
30,7534005.810,7534045.775,39.964
31,7534045.775,7534086.029,40.254
32,7534086.029,7534125.790,39.761
33,7534125.790,7534165.805,40.014
34,7534165.805,7534205.932,40.127
35,7534205.932,7534245.877,39.945
36,7534245.877,7534285.812,39.935
37,7534285.813,7534325.887,40.074
38,7534325.887,7534365.904,40.017
39,7534365.904,7534405.962,40.058
40,7534405.963,7534445.912,39.949
41,7534445.912,7534485.896,39.984
42,7534485.896,7534525.935,40.039
43,7534525.936,7534565.850,39.915
44,7534565.851,7534605.986,40.135
45,7534605.986,7534646.101,40.115
46,7534646.102,7534685.946,39.845
47,7534685.947,7534725.870,39.923
48,7534725.871,7534765.930,40.059
49,7534765.930,7534805.980,40.050
50,7534805.980,7534845.973,39.993
51,7534845.974,7534885.970,39.997
52,7534885.971,7534925.874,39.903
53,7534925.874,7534965.907,40.033
54,7534965.907,7535006.060,40.153
55,7535006.060,7535045.889,39.829
56,7535045.889,7535086.128,40.239
57,7535086.128,7535126.040,39.912
58,7535126.040,7535165.933,39.893
59,7535165.933,7535206.027,40.094
60,7535206.028,7535245.971,39.943
61,7535245.971,7535285.984,40.014
62,7535285.985,7535326.087,40.102
63,7535326.087,7535365.984,39.897
64,7535365.984,7535405.973,39.989
65,7535405.974,7535446.093,40.120
66,7535446.094,7535486.084,39.990
67,7535486.085,7535526.047,39.962
68,7535526.047,7535566.103,40.055
69,7535566.103,7535606.182,40.079
70,7535606.182,7535646.140,39.958
71,7535646.141,7535685.987,39.846
72,7535685.987,7535726.032,40.045
73,7535726.032,7535766.345,40.313
74,7535766.346,7535805.992,39.646
75,7535805.992,7535846.042,40.050
76,7535846.043,7535886.043,40.000
77,7535886.044,7535926.200,40.157
78,7535926.201,7535966.651,40.451
79,7535966.652,7536005.995,39.343
80,7536005.995,7536046.174,40.179
81,7536046.174,7536086.070,39.896
82,7536086.071,7536126.132,40.062
83,7536126.133,7536166.675,40.542
84,7536166.676,7536206.288,39.612
85,7536206.288,7536246.081,39.793
86,7536246.082,7536286.194,40.112
87,7536286.194,7536326.170,39.976
88,7536326.171,7536366.101,39.931
89,7536366.101,7536406.201,40.099
90,7536406.202,7536446.209,40.007
91,7536446.209,7536486.153,39.943
92,7536486.153,7536526.216,40.063
93,7536526.217,7536566.176,39.959
94,7536566.177,7536606.181,40.005
95,7536606.182,7536646.223,40.041
96,7536646.223,7536686.239,40.016
97,7536686.239,7536726.181,39.942
98,7536726.181,7536766.245,40.063
99,7536766.245,7536806.282,40.037
100,7536806.283,7536846.280,39.998
101,7536846.281,7536886.213,39.932
102,7536886.213,7536926.191,39.978
103,7536926.191,7536966.243,40.052
104,7536966.244,7537006.269,40.026
105,7537006.270,7537046.202,39.932
106,7537046.203,7537087.651,41.448
107,7537087.651,7537126.280,38.629
108,7537126.281,7537166.229,39.948
109,7537166.229,7537206.284,40.055
110,7537206.285,7537246.278,39.993
111,7537246.278,7537286.247,39.969
112,7537286.247,7537326.277,40.030
113,7537326.278,7537366.293,40.015
114,7537366.293,7537406.311,40.018
115,7537406.312,7537446.291,39.979
116,7537446.291,7537486.287,39.996
117,7537486.288,7537526.279,39.991
118,7537526.310,7537566.276,39.966
119,7537566.276,7537606.320,40.044
120,7537606.321,7537646.413,40.093
121,7537646.414,7537686.267,39.853
122,7537686.267,7537726.472,40.205
123,7537726.472,7537766.594,40.121
124,7537766.594,7537806.346,39.752
125,7537806.347,7537846.399,40.052
126,7537846.400,7537886.270,39.870
127,7537886.271,7537926.408,40.138
128,7537926.409,7537966.354,39.946
129,7537966.355,7538006.345,39.990
130,7538006.345,7538046.342,39.997
131,7538046.343,7538086.387,40.044
132,7538086.387,7538126.354,39.967
133,7538126.354,7538166.366,40.011
134,7538166.366,7538206.338,39.972
135,7538206.339,7538246.408,40.070
136,7538246.409,7538286.354,39.945
137,7538286.355,7538326.406,40.051
138,7538326.406,7538366.412,40.006
139,7538366.413,7538406.357,39.944
140,7538406.357,7538446.438,40.080
141,7538446.438,7538486.420,39.982
142,7538486.421,7538526.408,39.988
143,7538526.409,7538566.421,40.013
144,7538566.422,7538606.423,40.001
145,7538606.423,7538646.415,39.991
146,7538646.415,7538686.417,40.002
147,7538686.417,7538726.423,40.006
148,7538726.423,7538766.445,40.021
149,7538766.445,7538806.414,39.969
150,7538806.414,7538846.417,40.003
151,7538846.418,7538886.426,40.008
152,7538886.426,7538927.807,41.381
153,7538927.808,7538966.425,38.617
154,7538966.425,7539006.440,40.015
155,7539006.441,7539046.459,40.018
156,7539046.459,7539086.414,39.955
157,7539086.415,7539127.974,41.560
158,7539127.975,7539166.455,38.480
159,7539166.455,7539206.441,39.986
160,7539206.442,7539246.466,40.024
161,7539246.466,7539287.046,40.580
162,7539287.047,7539326.794,39.747
163,7539326.795,7539366.548,39.754
164,7539366.549,7539406.504,39.955
165,7539406.504,7539446.560,40.056
166,7539446.561,7539486.519,39.959
167,7539486.520,7539526.523,40.003
168,7539526.524,7539566.606,40.082
169,7539566.607,7539606.536,39.929
170,7539606.536,7539646.553,40.017
171,7539646.553,7539686.605,40.052
172,7539686.606,7539726.540,39.934
173,7539726.540,7539766.590,40.050
174,7539766.590,7539806.610,40.020
175,7539806.611,7539846.552,39.941
176,7539846.552,7539886.568,40.016
177,7539886.568,7539926.581,40.013
178,7539926.582,7539966.575,39.993
179,7539966.575,7540006.553,39.978
180,7540006.554,7540046.603,40.049
181,7540046.603,7540086.657,40.054
182,7540086.657,7540126.572,39.915
183,7540126.573,7540166.646,40.073
184,7540166.646,7540206.743,40.097
185,7540206.744,7540246.700,39.956
186,7540246.700,7540286.637,39.936
187,7540286.637,7540326.612,39.975
188,7540326.613,7540366.660,40.047
189,7540366.661,7540406.665,40.004
190,7540406.665,7540446.632,39.966
191,7540446.632,7540486.684,40.052
192,7540486.685,7540526.686,40.001
193,7540526.687,7540566.701,40.014
194,7540566.701,7540606.760,40.059
195,7540606.760,7540646.770,40.009
196,7540646.770,7540686.688,39.918
197,7540686.689,7540726.776,40.088
198,7540726.776,7540766.704,39.928
199,7540766.704,7540806.691,39.987
200,7540806.691,7540847.305,40.614
201,7540847.306,7540887.369,40.064
202,7540887.370,7540926.696,39.326
203,7540926.697,7540967.682,40.986
204,7540967.683,7541006.769,39.086
205,7541006.769,7541046.749,39.980
206,7541046.750,7541086.774,40.025
207,7541086.775,7541126.851,40.076
208,7541126.852,7541167.539,40.687
209,7541167.539,7541206.758,39.219
210,7541206.758,7541246.812,40.054
211,7541246.813,7541286.771,39.958
