index,start_ms,end_ms,duration_ms
0,7532389.785,7533038.824,649.039
1,7533038.837,7533053.995,15.157
2,7533053.995,7533067.381,13.386
3,7533067.383,7533080.794,13.412
4,7533080.796,7533095.698,14.903
5,7533095.699,7533108.494,12.795
6,7533108.495,7533121.337,12.842
7,7533121.337,7533134.786,13.448
8,7533134.787,7533164.829,30.042
9,7533164.830,7533204.860,40.031
10,7533204.861,7533244.818,39.958
11,7533244.820,7533284.877,40.057
12,7533284.878,7533324.844,39.966
13,7533324.845,7533364.826,39.981
14,7533364.827,7533404.827,40.000
15,7533404.827,7533444.860,40.033
16,7533444.861,7533484.919,40.057
17,7533484.919,7533524.892,39.972
18,7533524.893,7533564.858,39.965
19,7533564.859,7533604.852,39.993
20,7533604.853,7533644.879,40.025
21,7533644.879,7533684.892,40.013
22,7533684.893,7533726.213,41.320
23,7533726.214,7533764.899,38.686
24,7533764.900,7533804.932,40.032
25,7533804.933,7533844.996,40.063
26,7533844.997,7533884.920,39.923
27,7533884.921,7533926.349,41.429
28,7533926.350,7533964.976,38.626
29,7533964.977,7534004.987,40.010
30,7534004.988,7534044.951,39.964
31,7534044.952,7534085.210,40.258
32,7534085.211,7534124.957,39.746
33,7534124.958,7534164.996,40.038
34,7534164.996,7534205.131,40.135
35,7534205.132,7534245.085,39.953
36,7534245.086,7534284.991,39.905
37,7534284.991,7534325.091,40.100
38,7534325.092,7534365.103,40.011
39,7534365.104,7534405.157,40.053
40,7534405.158,7534445.114,39.956
41,7534445.115,7534485.102,39.987
42,7534485.103,7534525.135,40.032
43,7534525.135,7534565.050,39.914
44,7534565.051,7534605.189,40.138
45,7534605.190,7534645.268,40.078
46,7534645.269,7534685.149,39.880
47,7534685.150,7534725.069,39.919
48,7534725.070,7534765.128,40.058
49,7534765.129,7534805.181,40.051
50,7534805.182,7534845.173,39.991
51,7534845.174,7534885.179,40.005
52,7534885.180,7534925.079,39.899
53,7534925.080,7534965.110,40.030
54,7534965.110,7535005.232,40.122
55,7535005.233,7535045.089,39.856
56,7535045.090,7535085.300,40.210
57,7535085.301,7535125.218,39.917
58,7535125.219,7535165.134,39.915
59,7535165.135,7535205.201,40.066
60,7535205.202,7535245.166,39.964
61,7535245.167,7535285.187,40.021
62,7535285.188,7535325.262,40.073
63,7535325.263,7535365.185,39.922
64,7535365.186,7535405.168,39.982
65,7535405.169,7535445.265,40.095
66,7535445.266,7535485.262,39.996
67,7535485.263,7535525.220,39.957
68,7535525.221,7535565.279,40.059
69,7535565.280,7535605.350,40.069
70,7535605.350,7535645.305,39.955
71,7535645.307,7535685.193,39.886
72,7535685.193,7535725.208,40.015
73,7535725.209,7535765.516,40.306
74,7535765.516,7535805.191,39.675
75,7535805.192,7535845.232,40.040
76,7535845.233,7535885.221,39.988
77,7535885.222,7535925.371,40.149
78,7535925.372,7535965.822,40.450
79,7535965.823,7536005.202,39.379
80,7536005.203,7536045.343,40.140
