index,start_ms,end_ms,duration_ms
0,7550448.851,7550458.735,9.883
1,7550458.736,7550468.589,9.853
2,7550468.589,7550478.453,9.864
3,7550478.454,7550488.341,9.887
4,7550488.342,7550498.242,9.900
5,7550498.242,7550508.110,9.868
6,7550508.146,7550518.029,9.883
7,7550518.030,7550527.965,9.935
8,7550527.965,7550537.859,9.894
9,7550537.859,7550547.705,9.845
10,7550547.705,7550557.607,9.902
11,7550557.607,7550567.517,9.910
12,7550567.518,7550577.401,9.884
13,7550577.401,7550587.251,9.849
14,7550587.251,7550597.118,9.867
15,7550597.119,7550607.032,9.913
16,7550607.032,7550616.922,9.890
17,7550616.922,7550626.776,9.854
18,7550626.776,7550636.649,9.872
19,7550636.649,7550646.553,9.904
20,7550646.553,7550656.441,9.888
21,7550656.441,7550666.294,9.852
22,7550666.294,7550676.139,9.845
23,7550676.139,7550686.056,9.916
24,7550686.056,7550695.944,9.888
25,7550695.944,7550705.798,9.854
26,7550705.798,7550715.697,9.899
27,7550715.698,7550725.546,9.848
28,7550725.546,7550735.444,9.898
29,7550735.444,7550745.290,9.846
30,7550745.290,7550755.135,9.844
31,7550755.135,7550765.036,9.900
32,7550765.036,7550774.935,9.899
33,7550774.935,7550784.786,9.851
34,7550784.786,7550794.641,9.855
35,7550794.642,7550804.528,9.886
36,7550804.528,7550814.425,9.897
37,7550814.426,7550824.270,9.845
38,7550824.270,7550834.134,9.863
39,7550834.134,7550844.037,9.903
40,7550844.037,7550853.940,9.902
41,7550853.940,7550863.792,9.852
42,7550863.792,7550873.652,9.860
43,7550873.653,7550883.537,9.884
44,7550883.538,7550893.438,9.901
45,7550893.439,7550903.304,9.865
46,7550903.304,7550913.166,9.863
47,7550913.167,7550923.079,9.912
48,7550923.080,7550933.026,9.946
49,7550933.027,7550942.894,9.867
50,7550942.894,7550952.755,9.861
51,7550952.756,7550962.645,9.890
52,7550962.646,7550972.576,9.930
53,7550972.577,7550982.454,9.877
54,7550982.454,7550992.306,9.852
55,7550992.307,7551002.190,9.883
56,7551002.191,7551012.081,9.890
57,7551012.081,7551021.960,9.878
58,7551021.960,7551031.831,9.871
59,7551031.831,7551041.718,9.887
60,7551041.719,7551051.737,10.018
61,7551051.737,7551061.579,9.842
62,7551061.579,7551071.428,9.849
63,7551071.429,7551081.314,9.885
64,7551081.314,7551091.209,9.895
65,7551091.209,7551101.090,9.881
66,7551101.090,7551110.932,9.842
67,7551110.932,7551120.834,9.902
68,7551120.835,7551130.732,9.897
69,7551130.732,7551140.616,9.884
70,7551140.616,7551150.464,9.848
71,7551150.464,7551160.347,9.883
72,7551160.348,7551170.244,9.897
73,7551170.245,7551180.128,9.883
74,7551180.128,7551189.972,9.844
75,7551189.972,7551199.866,9.894
76,7551199.867,7551209.762,9.896
77,7551209.763,7551219.717,9.955
78,7551219.717,7551229.554,9.837
79,7551229.555,7551239.431,9.877
80,7551239.432,7551249.329,9.897
81,7551249.330,7551259.210,9.880
82,7551259.210,7551269.085,9.875
83,7551269.086,7551278.977,9.891
84,7551278.977,7551288.891,9.914
85,7551288.892,7551298.771,9.879
86,7551298.771,7551308.625,9.854
87,7551308.626,7551318.511,9.886
88,7551318.512,7551328.479,9.966
89,7551328.479,7551338.344,9.865
90,7551338.344,7551348.190,9.846
91,7551348.190,7551358.083,9.892
92,7551358.083,7551367.975,9.892
93,7551367.975,7551377.886,9.911
94,7551377.886,7551387.741,9.854
95,7551387.741,7551397.616,9.875
96,7551397.616,7551407.517,9.901
97,7551407.517,7551417.400,9.883
98,7551417.401,7551427.241,9.841
99,7551427.241,7551437.110,9.869
100,7551437.111,7551447.020,9.909
101,7551447.021,7551456.908,9.887
102,7551456.908,7551466.760,9.852
103,7551466.760,7551476.619,9.859
104,7551476.620,7551486.543,9.923
105,7551486.543,7551496.412,9.868
106,7551496.412,7551506.257,9.845
107,7551506.257,7551516.111,9.854
108,7551516.112,7551526.013,9.901
109,7551526.013,7551535.908,9.895
110,7551535.908,7551545.763,9.855
111,7551545.763,7551555.615,9.852
112,7551555.616,7551565.508,9.892
113,7551565.509,7551575.405,9.896
